folder,image,ground_truth,prediction,cer
252,1.jpg,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa IX của Đảng bộ,"Chương trình hành động thực hiện Nghị quyết Trung ương 9 - khai 1x của Đảng 15,",0.07692307692307693
252,2.jpg,"TP.HCM Về xây dựng Đảng : tiếp tục chỉ đạo mạnh mẽ, có hiệu quả cuộc vận động xây","TP.HCM về xây dựng Đảng : tiếp tục chỉ đạo mạnh mẽ, có hiệu quả cuộc vận động",0.04938271604938271
252,3.jpg,"dựng chỉnh đốn Đảng theo tinh thần nghị quyết trung ương 6 (lần 2). Theo đó, tiếp tục","dựng chính đơn Đảng theo tinh thần nghị quyết trung ương (lần 2). Theo đó, tập trung",0.11764705882352941
252,4.jpg,thực hiện việc kê khai nhà đất và cơ sở sản xuất kinh doanh của cán bộ - công,thực hiện việc kê khai nhà đất và cơ sở sản xuất lãnh danh của cán bộ - công,0.03896103896103896
252,5.jpg,"chức; tăng cường thanh kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt","chức, tổng công thành kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt",0.07042253521126761
252,6.jpg,trong lĩnh vực đất đai và các công trình trọng điểm.,định lĩnh vực đã đại và các công trình trong điểm.,0.15384615384615385
252,7.jpg,Xử lý nghiêm minh theo pháp luật và kỷ luật của Đảng những người có hành,Xứ lý nghiệm mình theo pháp luật và kỷ luật của Đảng những người có hành,0.041666666666666664
252,8.jpg,vi sai trái và những người bao che. Thực hiện tốt các quy định đối với cán bộ lãnh,vị sai trái và những người bao che. Thực hiện tốt các quy định đối với cán bộ lãnh,0.012195121951219513
252,9.jpg,"đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ quan, đơn vị. Kiện toàn và","Đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ quan, đơn vị. Kiểm toán và",0.04
252,10.jpg,tăng cường sức chiến đấu của tổ chức cơ sở Đảng. Tiếp tục đổi mới và nâng,tăng cường sức chiến đấu của tôi chúc có sở đăng. Tiếp tục đổi mới và nâng,0.0684931506849315
252,11.jpg,cao công tác cán bộ. Tiếp tục đổi mới phương thức lãnh đạo của cấp ủy,cao công tác cáo bộ. Tiếp tục đổi mới phương thức làm đạo của cấp ủy,0.057971014492753624
252,12.jpg,Đảng theo phương châm hướng mạnh về cơ sở.,Đang theo phương châm hướng mạng về cơ sở.,0.047619047619047616
252,13.jpg,"Về cải cách hành chính : Tập trung chấn chỉnh mạnh hơn nữa kỷ cương, kỷ luật trong","Về cái cách hành chính : Tập trung chẩn chứng mạnh hơn nữa kỹ cương, kỷ luật trong",0.06097560975609756
252,14.jpg,"bộ máy hành chính, nâng cao tinh thần trách nhiệm và ý thức kỷ luật của CB - CC,","bộ mấy hành chính, nặng cao tìm thẩm trước nhiệm vụ ý thức ký hiệu của CBQC",0.2625
252,15.jpg,"nhất là trên lĩnh vực nhà đất, đầu tư, kinh doanh, trật tự xây dựng và","nhặt lên trên lưới vực nhà đất, đầu tư, kinh doanh, trả tự xây dựng và",0.11428571428571428
252,16.jpg,"giải quyết khiếu nại, tố cáo. Xây dựng hoàn thiện hệ thống các qui trình","giải quyết khiếu nại, tố cáo. Xây dựng hoàn thiện hệ thống các quy trình",0.013888888888888888
252,17.jpg,"thủ tục hành chính. Kiên quyết chấn chỉnh bộ máy hành chính các cấp,",thú tục hành chính. Kiên quyết chấn chỉnh bộ máy hành chính các cấp,0.029411764705882353
252,18.jpg,"nhanh chóng khắc phục tình trạng quan liêu, cửa quyền, hách dịch.","nhân chồng thác phục tình trạng quan liêu của quyền, khách dành.",0.15384615384615385
252,19.jpg,"Xây dựng và phát triển đội ngũ CB - CC có chất lượng chuyên môn cao, có phẩm","Xây dựng và phát triển đối ngữ CB - CĐ có chất lượng chuyên môn cao, có phần",0.06578947368421052
252,20.jpg,"chất, đạo đức. Kiểm tra, xử lý kiên quyết các vụ tham nhũng, lãng phí,","chất, đạo đức. Kiểm tra, xử lý kiến quyết các cơ quan những, lặng phí,",0.11428571428571428
252,21.jpg,làm thất thoát tài sản nhà nước... Về kinh tế : Tập trung mọi nỗ lực,làm thái thoát tại sân nhà nước... Về kinh tế : tập trung môi nguy hiểm,0.17647058823529413
252,22.jpg,"nhằm tháo gỡ sản xuất kinh doanh, đưa tốc độ tăng trưởng GDP trên địa","nhằm tháo gỡ sản xuất lẫn doanh, đưa tốc độ tăng trưởng GDP trở lại",0.11594202898550725
252,23.jpg,bàn TP đạt 12% năm 2004 và trên 12% năm 2005. Phát triển nhanh,bán 7P đạt 12% năm 2004 và trên 12% năm 2005. Phải tiến hành,0.12903225806451613
252,24.jpg,"các ngành dịch vụ, tái cấu trúc các ngành công nghiệp.","các ngân dịch vụ, tài cầu trực cổng ngân công nghiệp.",0.18518518518518517
252,25.jpg,Tiếp tục nhân rộng các mô hình huy động vốn đầu tư. Tập trung khai thác,Tiếp tục nhận rộng các mô hình. Huy đóng vốn đầu tư. Tập trung khai thác,0.04225352112676056
252,26.jpg,các nguồn vốn cho ngân sách. Tổng kết quá trình cổ phần hóa doanh,các nguồn vốn cho ngân sách. Tổng kết quá trình cổ phần hóa doanh,0.0
252,27.jpg,nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà nước.,"nghiệp nhà nước và việc tổ chức, sắp xếp lại doanh nghiệp nhà nước.",0.015151515151515152
252,28.jpg,Triển khai quyết định của TP về một số chính sách ưu đãi đối với,Triển khai quyết định của TP về môi đô chính sách du lịch đã đối với,0.171875
252,29.jpg,các dự án có vốn đầu tư nước ngoài. Rà soát lại chương,các dự án có vốn đầu tư nước ngoài. Rà soát lại các chương,0.07407407407407407
252,30.jpg,trình hội nhập kinh tế của TP. Về văn hóa - xã hội : đẩy mạnh xã,"trình hồi nhập kinh tế của TP. Về văn hoá - xã hội, đầy mấy xã",0.140625
252,31.jpg,"hội hóa, phát triển xã hội học tập, ưu tiên đầu tư ngân sách","hồi hóa, phải triển xã hội học tập, tư tưởng đầu tư ngân sách",0.13333333333333333
252,32.jpg,cho giáo dục - đào tạo.,cho giao duc - đào tạo.,0.08695652173913043
252,33.jpg,Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh dịch vụ,Nâng cao năng lực quản lý nhà nước trên các hình sự của bình đảm dịch vụ,0.18309859154929578
252,34.jpg,"văn hóa; khắc phục những sơ hở, tiêu cực trong quản lý và hoạt động","văn hóa; khắc phục những sở hộ, đều cực trọng quản lý và hoạt động",0.08955223880597014
252,35.jpg,văn hóa. Tiếp tục tập trung nguồn lực cho chương trình 3 giảm...,văn hoá. Tiếp tục tập trung nguồn lực cho chương trình 3 giảm...,0.03125
253,1.jpg,"Viết tiếp về vụ anh Trương Xuân Đại. Ngay từ khi tờ báo có bài "" Số phận của","Viết tiếp về xuân, xuân 2, Đại Nghệ và khối, tòa báo "" Có phần của",0.4342105263157895
253,2.jpg,"những người nói lên sự thật "" phát hành, nhiều bạn đọc đã bày tỏ sự chia sẻ,","những người mới lên sự thật "" phát hành, nhân lâm đọc đã bây giờ thu nhà sẽ,",0.25
253,3.jpg,ủng hộ anh Trương Xuân Đại. Một bạn đọc 67 tuổi ở Q.11 đến gửi tặng anh Trương,"ứng hộ anh Trương Xuân Đại. Mặt bàn đạc 67 tuổi ở Q.1, trên "" gửi "" tông anh Trương",0.16666666666666666
253,4.jpg,"Xuân Đại 150.000 đồng, một cô gái tên Nhung ở Tân Bình gửi tặng 100.000 đ,","Xuân Đại 150.000 đồng, mất 6 giờ tên Nhưng ở Tân Bình gửi tặng 100.000,",0.10810810810810811
253,5.jpg,một thanh niên tên Hà đến gửi 200.000 đ. Sau đó nữa là rất,"một thanh niên Tại Điện Biên Quý 200.000. Sau đó mua là Nội,",0.3448275862068966
253,6.jpg,"nhiều bạn đọc gọi đến bày tỏ sự chia sẻ, ủng hộ.","nhiều hơn đặc phẩm bảy bộ nơi chôn lều, cũng hơi",0.5208333333333334
253,7.jpg,Ban biên tập báo Tuổi Trẻ cũng quyết định gửi tặng nhóm công nhân,"Ban liên lạc báo "" tuần "" từ cùng quyết định giá tổng nhân công nhân",0.27692307692307694
253,8.jpg,đã tố cáo tiêu cực ở đường liên cảng A5 10 triệu đồng. Đừng để người dân,"để tổ chức cuộc ở đây lặn cổng A5 10 tuần đông. Đây, đề nghị dân",0.4166666666666667
253,9.jpg,"đặt cược cho niềm tin! Qua báo chí, bản thân tôi đã được biết về việc tố cáo những","đặc cuộc cho niềm tin! Qua bốn chị, bạn thân tôi đã kiệt về với tôi 20 triệu đồng,",0.36585365853658536
253,10.jpg,"sai phạm của công rình đường liên cảng A5 mấy năm trước đây, nhưng nay","dài phạm của công trình đường liên cảng A5 mạng liên tục cty, nhưng này",0.22857142857142856
253,11.jpg,mới biết việc làm dũng cảm và tốt đẹp đó đã mang đến bao hệ lụy phiền phức,"mái biệt "" việc bán chúng còn và bất đẹp đã mang đến bao bì lòng phận phúc",0.33783783783783783
253,12.jpg,"cho những người trong cuộc, những người mà theo tôi vô cùng xứng đáng với danh","cho người sống mà, những người mà "" chơi với cũng xứng đáng và đánh",0.34615384615384615
253,13.jpg,hiệu hiệp sĩ.,hẹn huyện Đà Lạt.,0.9230769230769231
253,14.jpg,"Thế nhưng những hiệp sĩ ấy giờ ra sao? Người thì lang thang, phiêu bạt, kẻ thì","Thế nhưng những hiệp ích nổi ngộ của Anh? Ngoài thế bây thường, phần bạt, hè nhị",0.38461538461538464
253,15.jpg,"vợ bỏ, kẻ thì cày ải trên những con đường đô thị để lượm ve chai, phải tá túc trong","vô hộ, kể thịt cây ái trên con chim, đó thì đã xuân ve chai, phải ra tù công",0.39759036144578314
253,16.jpg,những căn chòi tạm bợ sống qua ngày. Ngẫm sao mà thương thế! Đáng lẽ phải được,"những con thật bom bố rằng gia rộng. Ngồi vào món trứng, chơi đón lễ phồn chua.",0.48717948717948717
253,17.jpg,tôn vinh thì trái lại những con người ấy đã bị đẩy xuống đáy cùng của cuộc,"tôi sinh thẻ trên bàn những con người cây đá bị dây xuống dày cũng còn cán,",0.28378378378378377
253,18.jpg,"sống! Cũng may mà anh Đại đã thắng kiện, đó chắc là một niềm an ủi và","công! cũng may mà anh Đan đã không biết, đó chắc là niệm của cư vấn",0.30434782608695654
253,19.jpg,"là một khẳng định để anh và các đồng nghiệp, người thân tin rằng các","là những định đã mạnh mẽ các động nghiệp, người chôn tín công sự,",0.29411764705882354
253,20.jpg,anh không đơn độc trong việc theo đuổi niềm tin về lẽ phải của mình.,anh khẳng đơn Đại Luật Việt và nhiều giám định tìm cụ thể phải mà mình.,0.5
253,21.jpg,"Lại nữa, khi thanh tra đã xác định sai phạm sao không xử lý mà để "" ngâm ""","Lại mưa, khi thành tạo đất xác định sự phồm sở hữu, xử lý mở cửa ngầm",0.32432432432432434
253,22.jpg,lâu ngày đến vậy? Tôi không phải là người trong lĩnh vực chuyên môn nhưng,lên ngày cận vậy? Về khối vĩnh phủ là nguyên tắc kinh tế trực chuyển mâm những,0.4657534246575342
253,23.jpg,có thể hình dung công trình đường liên cảng A5 chắc là nhằm phục vụ hoạt động của,"có "" chủ hình chung công trình điện liên cảng A5 chứa nhân phẩm, vụ hoại động cản,",0.2839506172839506
253,24.jpg,các nhà đầu tư trong Khu chế xuất Tân Thuận. Vậy thì khi không khắc phục ngay,"các nghề dầu lư trong khi đã xuất "" tôm Thượng. Vận thủ không khỏi phức tạp, ngày",0.38961038961038963
253,25.jpg,"mà còn để con đường xuống cấp thê thảm, có phải là góp thêm phần","mà còn đề án đường xâm ý nghĩa hơn, có phải ký góp thêm biên",0.34375
253,26.jpg,"làm xấu đi môi trường đầu tư của thành phố hay không, và cũng",bán xã / đã mua xuất địa của Châu phố Hàng không 1 nữ cũng,0.5081967213114754
253,27.jpg,đồng nghĩa với việc mất đi bao nhiêu cơ hội làm việc và cải thiện cuộc sống,tây nghĩa và việc mà ít bọn nhiên vợ hơn bốn việc và cả thiếu của cộng,0.37333333333333335
253,28.jpg,của người lao động - đồng bào - hay không?,của người lao động - đồng bộ - họ thường?,0.16666666666666666
253,29.jpg,"Chúng ta "" hoan nghênh và biểu dương những việc làm tốt của công nhân",chúng tôi có bên nghẽn và hiện thương như việc làm lại của công nhân,0.2898550724637681
253,30.jpg,"xây dựng trong việc thông tin, phản ánh sai phạm của công trình đường","xây dựng bảng vực đi mỗi giờ phim "" anh gái phạm của "" công trình đường",0.3333333333333333
253,31.jpg,"liên cảng A5 "", nhưng chắc là không có hình thức hoan nghênh và biểu","Hơn vòng AS "", nhưng chắc là không có biết Thành ương ngành vì liên",0.3382352941176471
253,32.jpg,dương nào thiết thực hơn đối với anh Đại và những đồng nghiệp là xử lý ngay,"dương Chúc Thứ hai vẫn anh Đại vẫn mặn, đầy nghiệp bị xót gì ngay",0.4266666666666667
253,33.jpg,những sai phạm (đã rõ mười mươi) và có biện pháp hữu hiệu khắc phục,khẳng định phạm (đã có muốn muốn) và có kiến pháp hiến biểu lên được,0.417910447761194
253,34.jpg,những sai phạm đó. Có như vậy niềm tin vào lẽ phải mới được khôi phục,"những nữa làm "" đế "". Có những ngày mặn, gần vừa là phía nước để khẳng định,",0.6086956521739131
253,35.jpg,và người dân sẽ không còn phải đặt cược cho niềm tin của mình.,cả người dân sẽ không còn phải đặt được cho mỗi kim nữa mỗi ng,0.25806451612903225
253,36.jpg,Phải là một câu chuyện đàng hoàng! Nhóm công nhân dũng cảm ấy gồm,Phân tắc mãi cũ chuyện không không khỏi con người chuyện cũng ủy quy,0.5846153846153846
253,37.jpg,20 người vậy mà hầu như nay đã lang bạt hết. Chỉ còn anh Đại và bốn,20 người Vũng Mã hầu như ra ngơ đá bụy lên kết. Chỉ 1 mình Đại Việt biết,0.43283582089552236
